Date,Event
2021-03-27,High_Schools_Reopen
2021-03-28,High_Schools_Reopen
2021-03-29,High_Schools_Reopen
2021-03-30,High_Schools_Reopen
2021-03-31,High_Schools_Reopen
2021-04-01,High_Schools_Reopen
2021-04-02,High_Schools_Reopen
2021-04-03,High_Schools_Reopen
2021-04-04,High_Schools_Reopen
2021-04-05,High_Schools_Reopen
2021-04-06,High_Schools_Reopen
2021-04-07,High_Schools_Reopen
2021-04-08,High_Schools_Reopen
2021-04-09,High_Schools_Reopen
2021-04-10,High_Schools_Reopen
2021-04-11,High_Schools_Reopen
2021-04-12,High_Schools_Reopen
2021-04-13,High_Schools_Reopen
2021-04-14,High_Schools_Reopen
2021-04-15,High_Schools_Reopen
2021-04-16,High_Schools_Reopen
2021-04-17,High_Schools_Reopen
2021-04-18,High_Schools_Reopen
2021-04-19,High_Schools_Reopen
2021-04-20,High_Schools_Reopen
2021-04-21,High_Schools_Reopen
2021-04-22,High_Schools_Reopen
2021-04-23,High_Schools_Reopen
2021-04-24,High_Schools_Reopen
2021-04-25,High_Schools_Reopen
2021-04-26,High_Schools_Reopen
2021-04-27,High_Schools_Reopen
2021-04-28,High_Schools_Reopen
2021-04-29,High_Schools_Reopen
2021-04-30,High_Schools_Reopen
2021-05-01,High_Schools_Reopen
2021-05-02,High_Schools_Reopen
2021-05-03,High_Schools_Reopen
2021-05-04,High_Schools_Reopen
2021-05-05,High_Schools_Reopen
2021-05-06,High_Schools_Reopen
2021-05-07,High_Schools_Reopen
2021-05-08,High_Schools_Reopen
2021-05-09,High_Schools_Reopen
2021-05-10,High_Schools_Reopen
2021-05-11,High_Schools_Reopen
2021-05-12,High_Schools_Reopen
2021-05-13,High_Schools_Reopen
2021-05-14,High_Schools_Reopen
2021-05-15,High_Schools_Reopen
2021-05-16,High_Schools_Reopen
2021-05-17,High_Schools_Reopen
2021-05-18,High_Schools_Reopen
2021-05-19,High_Schools_Reopen
2021-05-20,High_Schools_Reopen
2021-05-21,High_Schools_Reopen
2021-05-22,High_Schools_Reopen
2021-05-23,High_Schools_Reopen
2021-05-24,Remote Learning Ended
2021-05-25,Remote Learning Ended
2021-05-26,Remote Learning Ended
2021-05-27,Remote Learning Ended
2021-05-28,Remote Learning Ended
2021-05-29,Remote Learning Ended
2021-05-30,Remote Learning Ended
2021-05-31,Remote Learning Ended
2021-06-01,Remote Learning Ended
2021-06-02,Remote Learning Ended
2021-06-03,Remote Learning Ended
2021-06-04,Remote Learning Ended
2021-06-05,Remote Learning Ended
2021-06-06,Remote Learning Ended
2021-06-07,Remote Learning Ended
2021-06-08,Remote Learning Ended
2021-06-09,Remote Learning Ended
2021-06-10,Remote Learning Ended
2021-06-11,Remote Learning Ended
2021-06-12,Remote Learning Ended
2021-06-13,Remote Learning Ended
2021-06-14,Remote Learning Ended
2021-06-15,Remote Learning Ended
2021-06-16,Remote Learning Ended
2021-06-17,Remote Learning Ended
2021-06-18,Remote Learning Ended
2021-06-19,Remote Learning Ended
2021-06-20,Remote Learning Ended
2021-06-21,Remote Learning Ended
2021-06-22,Remote Learning Ended
2021-06-23,Remote Learning Ended
2021-06-24,Remote Learning Ended
2021-06-25,Summer Break_2
2021-06-26,Summer Break_2
2021-06-27,Summer Break_2
2021-06-28,Summer Break_2
2021-06-29,Summer Break_2
2021-06-30,Summer Break_2
2021-07-01,Summer Break_2
2021-07-02,Summer Break_2
2021-07-03,Summer Break_2
2021-07-04,Summer Break_2
2021-07-05,Summer Break_2
2021-07-06,Summer Break_2
2021-07-07,Summer Break_2
2021-07-08,Summer Break_2
2021-07-09,Summer Break_2
2021-07-10,Summer Break_2
2021-07-11,Summer Break_2
2021-07-12,Summer Break_2
2021-07-13,Summer Break_2
2021-07-14,Summer Break_2
2021-07-15,Summer Break_2
2021-07-16,Summer Break_2
2021-07-17,Summer Break_2
2021-07-18,Summer Break_2
2021-07-19,Summer Break_2
2021-07-20,Summer Break_2
2021-07-21,Summer Break_2
2021-07-22,Summer Break_2
2021-07-23,Summer Break_2
2021-07-24,Summer Break_2
2021-07-25,Summer Break_2
2021-07-26,Summer Break_2
2021-07-27,Summer Break_2
2021-07-28,Summer Break_2
2021-07-29,Summer Break_2
2021-07-30,Summer Break_2
2021-07-31,Summer Break_2
2021-08-01,Summer Break_2
2021-08-02,Summer Break_2
2021-08-03,Summer Break_2
2021-08-04,Summer Break_2
2021-08-05,Summer Break_2
2021-08-06,Summer Break_2
2021-08-07,Summer Break_2
2021-08-08,Summer Break_2
2021-08-09,Summer Break_2
2021-08-10,Summer Break_2
2021-08-11,Summer Break_2
2021-08-12,Summer Break_2
2021-08-13,Summer Break_2
2021-08-14,Summer Break_2
2021-08-15,Summer Break_2
2021-08-16,Summer Break_2
2021-08-17,Summer Break_2
2021-08-18,Summer Break_2
2021-08-19,Summer Break_2
2021-08-20,Summer Break_2
2021-08-21,Summer Break_2
2021-08-22,Summer Break_2
2021-08-23,Summer Break_2
2021-08-24,Summer Break_2
2021-08-25,Summer Break_2
2021-08-26,Summer Break_2
2021-08-27,Summer Break_2
2021-08-28,Summer Break_2
2021-08-29,Summer Break_2
2021-08-30,Summer Break_2
2021-08-31,Summer Break_2
2021-09-01,Summer Break_2
2021-09-02,Summer Break_2
2021-09-03,Summer Break_2
2021-09-04,Summer Break_2
2021-09-05,Summer Break_2
2021-09-06,Summer Break_2
2021-09-07,Summer Break_2
2021-09-08,Summer Break_2
2021-09-09,Summer Break_2
2021-09-10,Summer Break_2
2021-09-11,Summer Break_2
2021-09-12,Summer Break_2
2021-09-13,Mandatory_In-person
2021-09-14,Mandatory_In-person
2021-09-15,Mandatory_In-person
2021-09-16,Mandatory_In-person
2021-09-17,Mandatory_In-person
2021-09-18,Mandatory_In-person
2021-09-19,Mandatory_In-person
2021-09-20,Mandatory_In-person
2021-09-21,Mandatory_In-person
2021-09-22,Mandatory_In-person
2021-09-23,Mandatory_In-person
2021-09-24,Mandatory_In-person
2021-09-25,Mandatory_In-person
2021-09-26,Mandatory_In-person
2021-09-27,Mandatory_In-person
2021-09-28,Mandatory_In-person
2021-09-29,Mandatory_In-person
2021-09-30,Mandatory_In-person
2021-10-01,Mandatory_In-person
2021-10-02,Mandatory_In-person
2021-10-03,Mandatory_In-person
2021-10-04,Mandatory_In-person
2021-10-05,Mandatory_In-person
2021-10-06,Mandatory_In-person
2021-10-07,Mandatory_In-person
2021-10-08,Mandatory_In-person
2021-10-09,Mandatory_In-person
2021-10-10,Mandatory_In-person
2021-10-11,Mandatory_In-person
2021-10-12,Mandatory_In-person
2021-10-13,Mandatory_In-person
2021-10-14,Mandatory_In-person
2021-10-15,Mandatory_In-person
2021-10-16,Mandatory_In-person
2021-10-17,Mandatory_In-person
2021-10-18,Mandatory_In-person
2021-10-19,Mandatory_In-person
2021-10-20,Mandatory_In-person
2021-10-21,Mandatory_In-person
2021-10-22,Mandatory_In-person
2021-10-23,Mandatory_In-person
2021-10-24,Mandatory_In-person
2021-10-25,Mandatory_In-person
2021-10-26,Mandatory_In-person
2021-10-27,Mandatory_In-person
2021-10-28,Mandatory_In-person
2021-10-29,Mandatory_In-person
2021-10-30,Mandatory_In-person
2021-10-31,Mandatory_In-person
