Sample_Date,WRRF_Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School-Aged Population,Season,Holiday
2021-12-07,Newtown Creek,14551.0,8811450.22,1156473,188137.0,Fall 2021,0
2021-12-07,North River,6844.0,3776174.12,658596,72242.0,Fall 2021,0
2021-12-07,Oakwood Beach,23381.0,8996865.91,258731,44374.0,Fall 2021,0
2021-12-07,Owls Head,16009.0,5749646.25,906442,135396.0,Fall 2021,0
2021-12-07,Port Richmond,14547.0,5600073.48,226167,46435.0,Fall 2021,0
2021-12-07,Red Hook,5754.0,2139090.94,224029,33636.0,Fall 2021,0
2021-12-07,Rockaway,3566.0,2015618.44,120539,29986.0,Fall 2021,0
2021-12-07,Tallman Island,14391.0,7507244.68,449907,74748.0,Fall 2021,0
2021-12-07,Wards Island,16714.0,8688798.57,1201485,240219.0,Fall 2021,0
2021-12-12,26th Ward,3770.0,2406577.4,290608,72091.0,Fall 2021,0
2021-12-12,Bowery Bay,15446.0,5500926.77,924695,122994.0,Fall 2021,0
2021-12-12,Coney Island,21705.0,9030759.72,682342,117865.0,Fall 2021,0
2021-12-12,Hunts Point,6501.0,3548262.09,755948,151282.0,Fall 2021,0
2021-12-12,Jamaica Bay,17679.0,6792798.41,748737,131881.0,Fall 2021,0
2021-12-12,Newtown Creek,10800.0,5903339.72,1156473,188137.0,Fall 2021,0
2021-12-12,North River,2168.0,1121490.64,658596,72242.0,Fall 2021,0
2021-12-12,Oakwood Beach,12708.0,4945678.44,258731,44374.0,Fall 2021,0
2021-12-12,Owls Head,28900.0,10138070.71,906442,135396.0,Fall 2021,0
2021-12-12,Port Richmond,17017.0,6550709.42,226167,46435.0,Fall 2021,0
2021-12-12,Red Hook,11832.0,4598280.53,224029,33636.0,Fall 2021,0
2021-12-12,Rockaway,3606.0,1925309.33,120539,29986.0,Fall 2021,0
2021-12-12,Tallman Island,22343.0,9587595.2,449907,74748.0,Fall 2021,0
2021-12-12,Wards Island,2463.0,1264710.33,1201485,240219.0,Fall 2021,0
2021-12-14,26th Ward,14070.0,8430534.05,290608,72091.0,Fall 2021,0
2021-12-14,Bowery Bay,21171.0,7193500.96,924695,122994.0,Fall 2021,0
2021-12-14,Coney Island,23593.0,8900079.31,682342,117865.0,Fall 2021,0
2021-12-14,Hunts Point,6241.0,3375335.0,755948,151282.0,Fall 2021,0
2021-12-14,Jamaica Bay,16293.0,5930835.67,748737,131881.0,Fall 2021,0
2021-12-14,Newtown Creek,17850.0,10108074.41,1156473,188137.0,Fall 2021,0
2021-12-14,North River,11868.0,6002651.06,658596,72242.0,Fall 2021,0
2021-12-14,Oakwood Beach,5993.0,2156867.03,258731,44374.0,Fall 2021,0
2021-12-14,Owls Head,17698.0,6282337.37,906442,135396.0,Fall 2021,0
2021-12-14,Port Richmond,26710.0,9835114.66,226167,46435.0,Fall 2021,0
2021-12-14,Red Hook,16980.0,6885799.87,224029,33636.0,Fall 2021,0
2021-12-14,Rockaway,20085.0,10722644.21,120539,29986.0,Fall 2021,0
2021-12-14,Tallman Island,10739.0,4608317.59,449907,74748.0,Fall 2021,0
2021-12-14,Wards Island,18089.0,8719916.95,1201485,240219.0,Fall 2021,0
2021-12-19,26th Ward,27848.0,17049067.55,290608,72091.0,Fall 2021,0
2021-12-19,Bowery Bay,11687.0,4162277.71,924695,122994.0,Fall 2021,0
2021-12-19,Coney Island,30733.0,11593751.25,682342,117865.0,Fall 2021,0
2021-12-19,Hunts Point,13661.0,8003751.26,755948,151282.0,Fall 2021,0
2021-12-19,Jamaica Bay,45415.0,17450070.51,748737,131881.0,Fall 2021,0
2021-12-19,Newtown Creek,38261.0,20914523.37,1156473,188137.0,Fall 2021,0
2021-12-19,North River,31603.0,16347779.28,658596,72242.0,Fall 2021,0
2021-12-19,Oakwood Beach,36093.0,13676867.03,258731,44374.0,Fall 2021,0
2021-12-19,Owls Head,48899.0,17357627.23,906442,135396.0,Fall 2021,0
2021-12-19,Port Richmond,64756.0,24928246.57,226167,46435.0,Fall 2021,0
2021-12-19,Red Hook,33535.0,13032736.6,224029,33636.0,Fall 2021,0
2021-12-19,Rockaway,19622.0,11091891.34,120539,29986.0,Fall 2021,0
2021-12-19,Tallman Island,15464.0,7286123.7,449907,74748.0,Fall 2021,0
2021-12-19,Wards Island,34094.0,16649495.48,1201485,240219.0,Fall 2021,0
2021-12-26,26th Ward,171612.0,107298936.35,290608,72091.0,Winter 2021,0
2021-12-26,Bowery Bay,194429.0,66062438.47,924695,122994.0,Winter 2021,0
2021-12-26,Coney Island,93309.0,35717613.09,682342,117865.0,Winter 2021,0
2021-12-26,Hunts Point,176145.0,98789230.86,755948,151282.0,Winter 2021,0
2021-12-26,Jamaica Bay,194978.0,71959995.49,748737,131881.0,Winter 2021,0
2021-12-26,Newtown Creek,132339.0,66709483.84,1156473,188137.0,Winter 2021,0
2021-12-26,North River,110444.0,53323161.44,658596,72242.0,Winter 2021,0
2021-12-26,Oakwood Beach,88117.0,33003807.9,258731,44374.0,Winter 2021,0
2021-12-26,Owls Head,108557.0,36721197.11,906442,135396.0,Winter 2021,0
2021-12-26,Port Richmond,162949.0,60000829.31,226167,46435.0,Winter 2021,0
2021-12-26,Red Hook,89517.0,30251257.1,224029,33636.0,Winter 2021,0
2021-12-26,Rockaway,63188.0,33734120.19,120539,29986.0,Winter 2021,0
2021-12-26,Tallman Island,76266.0,34650983.17,449907,74748.0,Winter 2021,0
2021-12-26,Wards Island,181165.0,87899984.35,1201485,240219.0,Winter 2021,0
2022-01-02,26th Ward,34374.0,28208232.65,290608,72091.0,Winter 2021,0
2022-01-02,Bowery Bay,84298.0,36579442.71,924695,122994.0,Winter 2021,0
2022-01-02,Coney Island,85083.0,40120921.8,682342,117865.0,Winter 2021,0
2022-01-02,Hunts Point,91989.0,60803900.74,755948,151282.0,Winter 2021,0
2022-01-02,Jamaica Bay,86712.0,34194660.72,748737,131881.0,Winter 2021,0
2022-01-02,Newtown Creek,61554.0,35863629.22,1156473,188137.0,Winter 2021,0
2022-01-02,North River,66029.0,35294667.86,658596,72242.0,Winter 2021,0
2022-01-02,Oakwood Beach,42641.0,21336181.97,258731,44374.0,Winter 2021,0
2022-01-02,Owls Head,113985.0,40937403.32,906442,135396.0,Winter 2021,0
2022-01-02,Port Richmond,99143.0,48122178.24,226167,46435.0,Winter 2021,0
2022-01-02,Red Hook,41792.0,16947830.44,224029,33636.0,Winter 2021,0
2022-01-02,Rockaway,116834.0,88057068.84,120539,29986.0,Winter 2021,0
