Test Date,WRRF Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School Status,School-Aged Population,Season,Holiday
2020-09-21,Oakwood Beach,644.0,224143.65,258731,Summer Break_1,44374.0,Summer 2020,0
2020-09-21,Owls Head,2762.0,1003589.88,906442,Summer Break_1,135396.0,Summer 2020,0
2020-09-21,Port Richmond,850.0,311518.34,226167,Summer Break_1,46435.0,Summer 2020,0
2020-09-21,Red Hook,,,224029,Summer Break_1,33636.0,Summer 2020,0
2020-09-21,Rockaway,628.0,414198.77,120539,Summer Break_1,29986.0,Summer 2020,0
2020-09-21,Tallman Island,,,449907,Summer Break_1,74748.0,Summer 2020,0
2020-09-21,Wards Island,1250.0,681430.89,1201485,Summer Break_1,240219.0,Summer 2020,0
2020-09-23,26th Ward,835.0,478592.94,290608,Pre-K and Special Only,72091.0,Fall 2020,0
2020-09-23,Bowery Bay,289.0,106548.55,924695,Pre-K and Special Only,122994.0,Fall 2020,0
2020-09-23,Coney Island,271.0,124715.69,682342,Pre-K and Special Only,117865.0,Fall 2020,0
2020-09-23,Hunts Point,293.0,168601.97,755948,Pre-K and Special Only,151282.0,Fall 2020,0
2020-09-23,Jamaica Bay,4625.0,1660004.08,748737,Pre-K and Special Only,131881.0,Fall 2020,0
2020-09-23,Newtown Creek,413.0,252656.45,1156473,Pre-K and Special Only,188137.0,Fall 2020,0
2020-09-23,North River,,,658596,Pre-K and Special Only,72242.0,Fall 2020,0
2020-09-23,Oakwood Beach,1525.0,533314.77,258731,Pre-K and Special Only,44374.0,Fall 2020,0
2020-09-23,Owls Head,1011.0,363225.41,906442,Pre-K and Special Only,135396.0,Fall 2020,0
2020-09-23,Port Richmond,,,226167,Pre-K and Special Only,46435.0,Fall 2020,0
2020-09-23,Red Hook,,,224029,Pre-K and Special Only,33636.0,Fall 2020,0
2020-09-23,Rockaway,,,120539,Pre-K and Special Only,29986.0,Fall 2020,0
2020-09-23,Tallman Island,259.0,104720.08,449907,Pre-K and Special Only,74748.0,Fall 2020,0
2020-09-23,Wards Island,,,1201485,Pre-K and Special Only,240219.0,Fall 2020,0
2020-09-30,26th Ward,1960.0,1225721.17,290608,Pre-K and Special Only,72091.0,Fall 2020,0
2020-09-28,Bowery Bay,1416.0,515818.51,924695,Pre-K and Special Only,122994.0,Fall 2020,0
2020-09-28,Coney Island,1714.0,874981.67,682342,Pre-K and Special Only,117865.0,Fall 2020,0
2020-09-28,Hunts Point,781.0,473361.55,755948,Pre-K and Special Only,151282.0,Fall 2020,0
2020-09-28,Jamaica Bay,753.0,289294.02,748737,Pre-K and Special Only,131881.0,Fall 2020,0
2020-09-28,Newtown Creek,1007.0,566921.05,1156473,Pre-K and Special Only,188137.0,Fall 2020,0
2020-09-30,North River,1066.0,508342.86,658596,Pre-K and Special Only,72242.0,Fall 2020,0
2020-09-28,Oakwood Beach,646.0,226738.63,258731,Pre-K and Special Only,44374.0,Fall 2020,0
2020-09-30,Owls Head,5174.0,1922967.25,906442,Pre-K and Special Only,135396.0,Fall 2020,0
2020-09-28,Port Richmond,1715.0,657329.59,226167,Pre-K and Special Only,46435.0,Fall 2020,0
2020-09-28,Red Hook,214.0,83309.75,224029,Pre-K and Special Only,33636.0,Fall 2020,0
2020-09-28,Rockaway,,,120539,Pre-K and Special Only,29986.0,Fall 2020,0
2020-09-30,Tallman Island,416.0,182097.51,449907,Pre-K and Special Only,74748.0,Fall 2020,0
2020-09-28,Wards Island,,,1201485,Pre-K and Special Only,240219.0,Fall 2020,0
2020-09-30,26th Ward,,,290608,Pre-K and Special Only,72091.0,Fall 2020,0
2020-09-30,Bowery Bay,,,924695,Pre-K and Special Only,122994.0,Fall 2020,0
2020-09-30,Coney Island,,,682342,Pre-K and Special Only,117865.0,Fall 2020,0
2020-09-30,Hunts Point,,,755948,Pre-K and Special Only,151282.0,Fall 2020,0
2020-09-30,Jamaica Bay,,,748737,Pre-K and Special Only,131881.0,Fall 2020,0
2020-09-30,Newtown Creek,,,1156473,Pre-K and Special Only,188137.0,Fall 2020,0
2020-09-30,North River,,,658596,Pre-K and Special Only,72242.0,Fall 2020,0
2020-09-30,Oakwood Beach,,,258731,Pre-K and Special Only,44374.0,Fall 2020,0
2020-09-30,Owls Head,,,906442,Pre-K and Special Only,135396.0,Fall 2020,0
2020-09-30,Port Richmond,,,226167,Pre-K and Special Only,46435.0,Fall 2020,0
2020-09-30,Red Hook,,,224029,Pre-K and Special Only,33636.0,Fall 2020,0
2020-09-30,Rockaway,,,120539,Pre-K and Special Only,29986.0,Fall 2020,0
2020-09-30,Tallman Island,,,449907,Pre-K and Special Only,74748.0,Fall 2020,0
2020-09-30,Wards Island,,,1201485,Pre-K and Special Only,240219.0,Fall 2020,0
2020-10-05,26th Ward,,,290608,All Grades,72091.0,Fall 2020,0
2020-10-05,Bowery Bay,,,924695,All Grades,122994.0,Fall 2020,0
2020-10-05,Coney Island,,,682342,All Grades,117865.0,Fall 2020,0
2020-10-05,Hunts Point,,,755948,All Grades,151282.0,Fall 2020,0
2020-10-05,Jamaica Bay,,,748737,All Grades,131881.0,Fall 2020,0
2020-10-05,Newtown Creek,,,1156473,All Grades,188137.0,Fall 2020,0
2020-10-05,North River,,,658596,All Grades,72242.0,Fall 2020,0
2020-10-05,Oakwood Beach,,,258731,All Grades,44374.0,Fall 2020,0
2020-10-05,Owls Head,,,906442,All Grades,135396.0,Fall 2020,0
2020-10-05,Port Richmond,,,226167,All Grades,46435.0,Fall 2020,0
2020-10-05,Red Hook,,,224029,All Grades,33636.0,Fall 2020,0
2020-10-05,Rockaway,,,120539,All Grades,29986.0,Fall 2020,0
2020-10-05,Tallman Island,,,449907,All Grades,74748.0,Fall 2020,0
2020-10-05,Wards Island,,,1201485,All Grades,240219.0,Fall 2020,0
2020-10-07,26th Ward,1169.0,700363.25,290608,All Grades,72091.0,Fall 2020,0
2020-10-07,Bowery Bay,2800.0,962833.17,924695,All Grades,122994.0,Fall 2020,0
