Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Event
2020-09-20,09/21/2020,Owls Head,OH,2762.0,1003589.88,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442,Summer Break_1
2020-09-20,09/21/2020,Port Richmond,PR,850.0,311518.34,,226167,Summer Break_1
2020-09-20,09/21/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029,Summer Break_1
2020-09-20,09/21/2020,Rockaway,RK,628.0,414198.77,,120539,Summer Break_1
2020-09-20,09/21/2020,Tallman Island,TI,,,Possible analytical issue,449907,Summer Break_1
2020-09-20,09/21/2020,Wards Island,WI,1250.0,681430.89,,1201485,Summer Break_1
2020-09-22,09/23/2020,26th Ward,26W,835.0,478592.94,,290608,Pre-K and Special Only
2020-09-22,09/23/2020,Bowery Bay,BB,289.0,106548.55,Concentration below Method Limit of Quantification (above Method Limit of Detection),924695,Pre-K and Special Only
2020-09-22,09/23/2020,Coney Island,CI,271.0,124715.69,Concentration below Method Limit of Quantification (above Method Limit of Detection),682342,Pre-K and Special Only
2020-09-22,09/23/2020,Hunts Point,HP,293.0,168601.97,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948,Pre-K and Special Only
2020-09-22,09/23/2020,Jamaica Bay,JA,4625.0,1660004.08,,748737,Pre-K and Special Only
2020-09-22,09/23/2020,Newtown Creek,NC,413.0,252656.45,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473,Pre-K and Special Only
2020-09-22,09/23/2020,North River,NR,,,Concentration below Method Limit of Detection,658596,Pre-K and Special Only
2020-09-22,09/23/2020,Oakwood Beach,OB,1525.0,533314.77,This sample was analyzed in duplicate. The higher of the 2 results is reported,258731,Pre-K and Special Only
2020-09-22,09/23/2020,Owls Head,OH,1011.0,363225.41,,906442,Pre-K and Special Only
2020-09-22,09/23/2020,Port Richmond,PR,,,"Concentration below Method Limit of DetectionNo signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well",226167,Pre-K and Special Only
2020-09-22,09/23/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029,Pre-K and Special Only
2020-09-22,09/23/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,120539,Pre-K and Special Only
2020-09-22,09/23/2020,Tallman Island,TI,259.0,104720.08,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,Pre-K and Special Only
2020-09-22,09/23/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,1201485,Pre-K and Special Only
2020-09-27,09/30/2020,26th Ward,26W,1960.0,1225721.17,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",290608,Pre-K and Special Only
2020-09-27,09/28/2020,Bowery Bay,BB,1416.0,515818.51,,924695,Pre-K and Special Only
2020-09-27,09/28/2020,Coney Island,CI,1714.0,874981.67,,682342,Pre-K and Special Only
2020-09-27,09/28/2020,Hunts Point,HP,781.0,473361.55,,755948,Pre-K and Special Only
2020-09-27,09/28/2020,Jamaica Bay,JA,753.0,289294.02,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,Pre-K and Special Only
2020-09-27,09/28/2020,Newtown Creek,NC,1007.0,566921.05,,1156473,Pre-K and Special Only
2020-09-27,09/30/2020,North River,NR,1066.0,508342.86,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",658596,Pre-K and Special Only
2020-09-27,09/28/2020,Oakwood Beach,OB,646.0,226738.63,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",258731,Pre-K and Special Only
2020-09-27,09/30/2020,Owls Head,OH,5174.0,1922967.25,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",906442,Pre-K and Special Only
2020-09-27,09/28/2020,Port Richmond,PR,1715.0,657329.59,,226167,Pre-K and Special Only
2020-09-27,09/28/2020,Red Hook,RH,214.0,83309.75,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,Pre-K and Special Only
2020-09-27,09/28/2020,Rockaway,RK,,,Analytical issue,120539,Pre-K and Special Only
2020-09-27,09/30/2020,Tallman Island,TI,416.0,182097.51,"Concentration below Method Limit of Quantification (above Method Limit of Detection) - Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",449907,Pre-K and Special Only
2020-09-27,09/28/2020,Wards Island,WI,,,Analytical issue,1201485,Pre-K and Special Only
2020-09-29,09/30/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),290608,Pre-K and Special Only
2020-09-29,09/30/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),924695,Pre-K and Special Only
2020-09-29,09/30/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),682342,Pre-K and Special Only
2020-09-29,09/30/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),755948,Pre-K and Special Only
2020-09-29,09/30/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),748737,Pre-K and Special Only
2020-09-29,09/30/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),1156473,Pre-K and Special Only
2020-09-29,09/30/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),658596,Pre-K and Special Only
2020-09-29,09/30/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),258731,Pre-K and Special Only
2020-09-29,09/30/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),906442,Pre-K and Special Only
2020-09-29,09/30/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),226167,Pre-K and Special Only
2020-09-29,09/30/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),224029,Pre-K and Special Only
2020-09-29,09/30/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),120539,Pre-K and Special Only
2020-09-29,09/30/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),449907,Pre-K and Special Only
2020-09-29,09/30/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),1201485,Pre-K and Special Only
2020-10-04,10/05/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),290608,All Grades
2020-10-04,10/05/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),924695,All Grades
2020-10-04,10/05/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),682342,All Grades
2020-10-04,10/05/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),755948,All Grades
2020-10-04,10/05/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),748737,All Grades
2020-10-04,10/05/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),1156473,All Grades
2020-10-04,10/05/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),658596,All Grades
2020-10-04,10/05/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),258731,All Grades
2020-10-04,10/05/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),906442,All Grades
2020-10-04,10/05/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),226167,All Grades
2020-10-04,10/05/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),224029,All Grades
2020-10-04,10/05/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),120539,All Grades
2020-10-04,10/05/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),449907,All Grades
2020-10-04,10/05/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),1201485,All Grades
2020-10-06,10/07/2020,26th Ward,26W,1169.0,700363.25,,290608,All Grades
2020-10-06,10/07/2020,Bowery Bay,BB,2800.0,962833.17,,924695,All Grades
2020-10-06,10/07/2020,Coney Island,CI,7238.0,3252567.31,,682342,All Grades
2020-10-06,10/07/2020,Hunts Point,HP,1051.0,605349.79,,755948,All Grades
2020-10-06,10/07/2020,Jamaica Bay,JA,1317.0,480739.77,,748737,All Grades
2020-10-06,10/07/2020,Newtown Creek,NC,1448.0,796369.86,,1156473,All Grades
2020-10-06,10/07/2020,North River,NR,823.0,411788.37,This sample was analyzed in duplicate. The higher of the 2 results is reported,658596,All Grades
2020-10-06,10/07/2020,Oakwood Beach,OB,3108.0,1045725.63,,258731,All Grades
2020-10-06,10/07/2020,Owls Head,OH,5824.0,2140225.1,,906442,All Grades
2020-10-06,10/07/2020,Port Richmond,PR,1403.0,523687.55,,226167,All Grades
2020-10-06,10/07/2020,Red Hook,RH,878.0,326459.68,,224029,All Grades
2020-10-06,10/07/2020,Rockaway,RK,1055.0,695748.53,,120539,All Grades
2020-10-06,10/07/2020,Tallman Island,TI,586.0,246662.72,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,All Grades
2020-10-06,10/07/2020,Wards Island,WI,1152.0,613593.5,,1201485,All Grades
2020-10-11,10/12/2020,26th Ward,26W,569.0,370574.71,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,All Grades
2020-10-11,10/12/2020,Bowery Bay,BB,3340.0,1175791.45,,924695,All Grades
2020-10-11,10/12/2020,Coney Island,CI,1661.0,718641.23,,682342,All Grades
2020-10-11,10/12/2020,Hunts Point,HP,846.0,495520.01,,755948,All Grades
2020-10-11,10/12/2020,Jamaica Bay,JA,1570.0,582974.41,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,All Grades
2020-10-11,10/12/2020,Newtown Creek,NC,682.0,385987.42,,1156473,All Grades
2020-10-11,10/12/2020,North River,NR,333.0,170555.88,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596,All Grades
2020-10-11,10/12/2020,Oakwood Beach,OB,2106.0,730213.25,,258731,All Grades
2020-10-11,10/12/2020,Owls Head,OH,6038.0,2546635.48,,906442,All Grades
2020-10-11,10/12/2020,Port Richmond,PR,1489.0,573163.13,,226167,All Grades
2020-10-11,10/12/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029,All Grades
2020-10-11,10/12/2020,Rockaway,RK,1078.0,609497.72,,120539,All Grades
2020-10-11,10/12/2020,Tallman Island,TI,626.0,279048.57,,449907,All Grades
2020-10-11,10/12/2020,Wards Island,WI,600.0,321472.73,,1201485,All Grades
2020-10-13,10/14/2020,26th Ward,26W,1351.0,862479.09,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",290608,All Grades
2020-10-13,10/14/2020,Bowery Bay,BB,2338.0,1244365.68,,924695,All Grades
2020-10-13,10/14/2020,Coney Island,CI,13884.0,7009292.66,,682342,All Grades
2020-10-13,10/14/2020,Hunts Point,HP,1822.0,1414059.02,,755948,All Grades
2020-10-13,10/14/2020,Jamaica Bay,JA,2170.0,866719.84,,748737,All Grades
2020-10-13,10/14/2020,Newtown Creek,NC,2102.0,1417415.71,,1156473,All Grades
2020-10-13,10/14/2020,North River,NR,1011.0,610378.22,,658596,All Grades
2020-10-13,10/14/2020,Oakwood Beach,OB,1713.0,794402.88,,258731,All Grades
2020-10-13,10/14/2020,Owls Head,OH,4672.0,1892693.36,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442,All Grades
2020-10-13,10/14/2020,Port Richmond,PR,2006.0,1051117.01,,226167,All Grades
2020-10-13,10/14/2020,Red Hook,RH,1295.0,634501.17,,224029,All Grades
2020-10-13,10/14/2020,Rockaway,RK,1044.0,688572.55,,120539,All Grades
2020-10-13,10/14/2020,Tallman Island,TI,540.0,309194.91,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,All Grades
2020-10-13,10/14/2020,Wards Island,WI,2066.0,1334360.17,,1201485,All Grades
2020-10-18,10/19/2020,26th Ward,26W,589.0,360573.93,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,290608,All Grades
2020-10-18,10/19/2020,Bowery Bay,BB,3925.0,1542556.99,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,924695,All Grades
2020-10-18,10/19/2020,Coney Island,CI,2615.0,1204084.9,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,682342,All Grades
2020-10-18,10/19/2020,Hunts Point,HP,2565.0,1502723.13,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,755948,All Grades
2020-10-18,10/19/2020,Jamaica Bay,JA,1313.0,519384.23,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,748737,All Grades
2020-10-18,10/19/2020,Newtown Creek,NC,6101.0,3354708.66,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1156473,All Grades
2020-10-18,10/19/2020,North River,NR,1479.0,765260.92,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,658596,All Grades
2020-10-18,10/19/2020,Oakwood Beach,OB,1793.0,748299.6,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,258731,All Grades
2020-10-18,10/19/2020,Owls Head,OH,7750.0,2815674.5,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,906442,All Grades
2020-10-18,10/19/2020,Port Richmond,PR,1229.0,514245.91,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,226167,All Grades
2020-10-18,10/19/2020,Red Hook,RH,1850.0,656558.66,This sample was analyzed in duplicate. The higher of the 2 results is reported - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,224029,All Grades
2020-10-18,10/19/2020,Rockaway,RK,262.0,180885.72,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,120539,All Grades
2020-10-18,10/19/2020,Tallman Island,TI,608.0,327256.35,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,449907,All Grades
2020-10-18,10/19/2020,Wards Island,WI,444.0,243663.22,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1201485,All Grades
2020-10-20,10/21/2020,26th Ward,26W,1754.0,1668238.66,,290608,All Grades
2020-10-20,10/21/2020,Bowery Bay,BB,4378.0,1577173.2,,924695,All Grades
2020-10-20,10/21/2020,Coney Island,CI,2453.0,1088640.01,,682342,All Grades
2020-10-20,10/21/2020,Hunts Point,HP,2303.0,1280065.1,,755948,All Grades
2020-10-20,10/21/2020,Jamaica Bay,JA,3808.0,1420015.48,,748737,All Grades
2020-10-20,10/21/2020,Newtown Creek,NC,5293.0,2979664.88,This sample was analyzed in duplicate. The higher of the 2 results is reported,1156473,All Grades
2020-10-20,10/21/2020,North River,NR,1789.0,945741.64,,658596,All Grades
2020-10-20,10/21/2020,Oakwood Beach,OB,4795.0,1834358.63,,258731,All Grades
2020-10-20,10/21/2020,Owls Head,OH,18230.0,6394851.12,,906442,All Grades
2020-10-20,10/21/2020,Port Richmond,PR,3789.0,1521966.28,,226167,All Grades
2020-10-20,10/21/2020,Red Hook,RH,1984.0,703878.26,,224029,All Grades
2020-10-20,10/21/2020,Rockaway,RK,2720.0,1879345.18,,120539,All Grades
2020-10-20,10/21/2020,Tallman Island,TI,2226.0,1104931.89,,449907,All Grades
2020-10-20,10/21/2020,Wards Island,WI,3026.0,1649601.31,,1201485,All Grades
2020-10-25,10/26/2020,26th Ward,26W,1652.0,989698.57,,290608,All Grades
2020-10-25,10/26/2020,Bowery Bay,BB,2430.0,855582.47,,924695,All Grades
2020-10-25,10/26/2020,Coney Island,CI,2615.0,1102519.97,,682342,All Grades
2020-10-25,10/26/2020,Hunts Point,HP,2678.0,1461670.41,,755948,All Grades
2020-10-25,10/26/2020,Jamaica Bay,JA,1754.0,663361.42,,748737,All Grades
2020-10-25,10/26/2020,Newtown Creek,NC,2759.0,1535087.8,,1156473,All Grades
2020-10-25,10/26/2020,North River,NR,1708.0,853973.3,This sample was analyzed in duplicate. The higher of the 2 results is reported,658596,All Grades
2020-10-25,10/26/2020,Oakwood Beach,OB,3822.0,1386643.93,,258731,All Grades
2020-10-25,10/26/2020,Owls Head,OH,5718.0,2101283.14,,906442,All Grades
2020-10-25,10/26/2020,Port Richmond,PR,2419.0,902980.25,,226167,All Grades
2020-10-25,10/26/2020,Red Hook,RH,744.0,264029.38,,224029,All Grades
