5-9,10-14, 15-19,WRRF Name,Total Population,Total WRRF Population,Individual Zip Code
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10022
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10038
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10280
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10282
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11205
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11206
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11211
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11213
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11216
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11221
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11222
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11225
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11233
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11237
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11238
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11379
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,11385
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10002
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10003
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10004
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10005
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10006
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10007
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10009
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10010
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10012
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10013
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10016
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10017
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10022
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10038
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10280
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,10282
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11205
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11206
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11211
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11213
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11216
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11221
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11222
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11225
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11233
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11237
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11238
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11379
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,11385
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10002
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10003
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10004
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10005
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10006
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10007
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10009
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10010
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10012
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10013
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10016
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10017
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10022
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10038
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,10280
